Время;Сообщение;Статус
7:24:27 25/01/22;Старт : Оператор Администратор Компьютер Оператор Версия 3.11.0.17267 3.11(DemoReleaseMax)_20_05_04_19_28;
7:24:33 25/01/22;Выход из Runtime : Оператор Администратор, Компьютер Оператор;
