Время;Сообщение;Статус
14:13:11 15/07/24;Старт : Оператор Администратор Компьютер Оператор Версия 3.13.0.32898 3.13(Demo)_24_04_02_14_43;
14:13:23 15/07/24;Выход из Runtime : Оператор Администратор, Компьютер Оператор;
