Время;Сообщение;Статус
7:15:55 25/01/22;Старт : Оператор Администратор Компьютер Оператор Версия 3.11.0.17267 3.11(DemoReleaseMax)_20_05_04_19_28;
7:19:08 25/01/22;Выход из Runtime : Оператор Соколов А.Е., Компьютер Оператор;
