Время;Сообщение;Статус
15:43:04 14/01/24;Старт : Оператор Администратор Компьютер Оператор Версия 3.13.0.32845 3.13(Demo)_24_01_02_10_54;
15:46:04 14/01/24;Выход из Runtime : Оператор Администратор, Компьютер Оператор;
