Время;Сообщение;Статус
7:40:58 25/01/22;Старт : Оператор Соколов А.Е. Компьютер Оператор Версия 3.11.0.17267 3.11(DemoReleaseMax)_20_05_04_19_28;
7:41:27 25/01/22;Выход из Runtime : Оператор Соколов А.Е., Компьютер Оператор;
