Время;Сообщение;Статус
7:30:59 25/01/22;Старт : Оператор Васильченко Д.С. Компьютер Оператор Версия 3.11.0.17267 3.11(DemoReleaseMax)_20_05_04_19_28;
7:31:12 25/01/22;Выход из Runtime : Оператор Соколов А.Е., Компьютер Оператор;
