Время;Сообщение;Статус
8:01:47 25/01/22;Старт : Оператор Соколов А.Е. Компьютер Оператор Версия 3.11.0.17267 3.11(DemoReleaseMax)_20_05_04_19_28;
8:03:26 25/01/22;Выход из Runtime : Оператор Соколов А.Е., Компьютер Оператор;
